season,constructorId,points,position,positionText,wins
2010,red_bull,498.0,1,1,9
2010,mclaren,454.0,2,2,5
2010,ferrari,396.0,3,3,5
2010,mercedes,214.0,4,4,0
2010,renault,163.0,5,5,0
2010,williams,69.0,6,6,0
2010,force_india,68.0,7,7,0
2010,sauber,44.0,8,8,0
2010,toro_rosso,13.0,9,9,0
2010,lotus_racing,0.0,10,10,0
2010,hrt,0.0,11,11,0
2010,virgin,0.0,12,12,0
2011,red_bull,650.0,1,1,12
2011,mclaren,497.0,2,2,6
2011,ferrari,375.0,3,3,1
2011,mercedes,165.0,4,4,0
2011,renault,73.0,5,5,0
2011,force_india,69.0,6,6,0
2011,sauber,44.0,7,7,0
2011,toro_rosso,41.0,8,8,0
2011,williams,5.0,9,9,0
2011,lotus_racing,0.0,10,10,0
2011,hrt,0.0,11,11,0
2011,virgin,0.0,12,12,0
2012,red_bull,460.0,1,1,7
2012,ferrari,400.0,2,2,3
2012,mclaren,378.0,3,3,7
2012,lotus_f1,303.0,4,4,1
2012,mercedes,142.0,5,5,1
2012,sauber,126.0,6,6,0
2012,force_india,109.0,7,7,0
2012,williams,76.0,8,8,1
2012,toro_rosso,26.0,9,9,0
2012,caterham,0.0,10,10,0
2012,marussia,0.0,11,11,0
2012,hrt,0.0,12,12,0
2013,red_bull,596.0,1,1,13
2013,mercedes,360.0,2,2,3
2013,ferrari,354.0,3,3,2
2013,lotus_f1,315.0,4,4,1
2013,mclaren,122.0,5,5,0
2013,force_india,77.0,6,6,0
2013,sauber,57.0,7,7,0
2013,toro_rosso,33.0,8,8,0
2013,williams,5.0,9,9,0
2013,marussia,0.0,10,10,0
2013,caterham,0.0,11,11,0
2014,mercedes,701.0,1,1,16
2014,red_bull,405.0,2,2,3
2014,williams,320.0,3,3,0
2014,ferrari,216.0,4,4,0
2014,mclaren,181.0,5,5,0
2014,force_india,155.0,6,6,0
2014,toro_rosso,30.0,7,7,0
2014,lotus_f1,10.0,8,8,0
2014,marussia,2.0,9,9,0
2014,sauber,0.0,10,10,0
2014,caterham,0.0,11,11,0
2015,mercedes,703.0,1,1,16
2015,ferrari,428.0,2,2,3
2015,williams,257.0,3,3,0
2015,red_bull,187.0,4,4,0
2015,force_india,136.0,5,5,0
2015,lotus_f1,78.0,6,6,0
2015,toro_rosso,67.0,7,7,0
2015,sauber,36.0,8,8,0
2015,mclaren,27.0,9,9,0
2015,manor,0.0,10,10,0
2016,mercedes,765.0,1,1,19
2016,red_bull,468.0,2,2,2
2016,ferrari,398.0,3,3,0
2016,force_india,173.0,4,4,0
2016,williams,138.0,5,5,0
2016,mclaren,76.0,6,6,0
2016,toro_rosso,63.0,7,7,0
2016,haas,29.0,8,8,0
2016,renault,8.0,9,9,0
2016,sauber,2.0,10,10,0
2016,manor,1.0,11,11,0
2017,mercedes,668.0,1,1,12
2017,ferrari,522.0,2,2,5
2017,red_bull,368.0,3,3,3
2017,force_india,187.0,4,4,0
2017,williams,83.0,5,5,0
2017,renault,57.0,6,6,0
2017,toro_rosso,53.0,7,7,0
2017,haas,47.0,8,8,0
2017,mclaren,30.0,9,9,0
2017,sauber,5.0,10,10,0
2018,mercedes,655.0,1,1,11
2018,ferrari,571.0,2,2,6
2018,red_bull,419.0,3,3,4
2018,renault,122.0,4,4,0
2018,haas,93.0,5,5,0
2018,mclaren,62.0,6,6,0
2018,force_india,52.0,7,7,0
2018,sauber,48.0,8,8,0
2018,toro_rosso,33.0,9,9,0
2018,williams,7.0,10,10,0
2019,mercedes,739.0,1,1,15
2019,ferrari,504.0,2,2,3
2019,red_bull,417.0,3,3,3
2019,mclaren,145.0,4,4,0
2019,renault,91.0,5,5,0
2019,toro_rosso,85.0,6,6,0
2019,racing_point,73.0,7,7,0
2019,alfa,57.0,8,8,0
2019,haas,28.0,9,9,0
2019,williams,1.0,10,10,0
2020,mercedes,573.0,1,1,13
2020,red_bull,319.0,2,2,2
2020,mclaren,202.0,3,3,0
2020,racing_point,195.0,4,4,1
2020,renault,181.0,5,5,0
2020,ferrari,131.0,6,6,0
2020,alphatauri,107.0,7,7,1
2020,alfa,8.0,8,8,0
2020,haas,3.0,9,9,0
2020,williams,0.0,10,10,0
2021,mercedes,613.5,1,1,9
2021,red_bull,585.5,2,2,11
2021,ferrari,323.5,3,3,0
2021,mclaren,275.0,4,4,1
2021,alpine,155.0,5,5,1
2021,alphatauri,142.0,6,6,0
2021,aston_martin,77.0,7,7,0
2021,williams,23.0,8,8,0
2021,alfa,13.0,9,9,0
2021,haas,0.0,10,10,0
2022,red_bull,759.0,1,1,17
2022,ferrari,554.0,2,2,4
2022,mercedes,515.0,3,3,1
2022,alpine,173.0,4,4,0
2022,mclaren,159.0,5,5,0
2022,alfa,55.0,6,6,0
2022,aston_martin,55.0,7,7,0
2022,haas,37.0,8,8,0
2022,alphatauri,35.0,9,9,0
2022,williams,8.0,10,10,0
